Row,Column,Assay,Sample,Conc,Ct,Tm,Efficiency,Flags
7,48,16S,STD1,-1,45,85.13,1.85,
7,60,16S,STD1,-1,45,84.69,1.9,
33,48,16S,STD2,-1,45,85.2,1.66,LowEfficiency
33,60,16S,STD2,-1,45,85.2,1.61,LowEfficiency
35,48,16S,STD2,-1,45,85.23,1.64,LowEfficiency
35,60,16S,STD2,-1,45,84.95,1.65,LowEfficiency
24,48,16S,STD3,-1,45,85.42,1.61,LowEfficiency
24,60,16S,STD3,-1,45,85.49,1.58,LowEfficiency
26,48,16S,STD3,-1,45,85.41,1.57,LowEfficiency
26,60,16S,STD3,-1,45,85.5,1.54,LowEfficiency
15,48,16S,STD4,-1,45,85.52,1.74,
15,60,16S,STD4,-1,45,85.57,1.78,
17,48,16S,STD4,-1,45,85.5,1.8,
17,60,16S,STD4,-1,17.59,85.58,1.8,
6,48,16S,STD5,-1,14.5,85.6,1.77,
6,60,16S,STD5,-1,14.33,85.65,1.8,
8,48,16S,STD5,-1,14.41,85.58,1.8,
8,60,16S,STD5,-1,14.55,85.63,1.8,
43,54,AOA,STD1,-1,32.76,74.86,1.77,CtIsLarge
43,66,AOA,STD1,-1,,,,NoAmplification
69,54,AOA,STD2,-1,29.05,74.97,1.85,
69,66,AOA,STD2,-1,28.45,75.13,1.79,
71,54,AOA,STD2,-1,28.6,75.1,1.89,
71,66,AOA,STD2,-1,30.79,75.29,1.66,LowEfficiency
60,54,AOA,STD3,-1,25.48,74.9,1.84,
60,66,AOA,STD3,-1,25.03,75.16,1.83,
62,54,AOA,STD3,-1,23.99,74.95,1.88,
62,66,AOA,STD3,-1,25.56,75.1,1.83,
51,54,AOA,STD4,-1,23.16,74.89,1.76,
51,66,AOA,STD4,-1,23.89,75.04,1.73,
53,54,AOA,STD4,-1,23.26,74.9,1.75,
53,66,AOA,STD4,-1,23.8,75.06,1.74,
42,54,AOA,STD5,-1,18.95,74.87,1.79,
42,66,AOA,STD5,-1,19.74,74.91,1.73,
44,54,AOA,STD5,-1,19.14,74.87,1.78,
44,66,AOA,STD5,-1,19.64,74.94,1.74,
7,54,AOB,STD1,-1,,,,NoAmplification
7,66,AOB,STD1,-1,27.2,83.86,1.84,
33,54,AOB,STD2,-1,26.56,83.58,1.86,
33,66,AOB,STD2,-1,25.47,83.67,1.75,
35,54,AOB,STD2,-1,25.75,83.59,1.89,
35,66,AOB,STD2,-1,25.28,83.65,1.95,
24,54,AOB,STD3,-1,22.1,83.61,1.89,
24,66,AOB,STD3,-1,22.32,83.68,1.88,
26,54,AOB,STD3,-1,22.65,83.58,1.89,
26,66,AOB,STD3,-1,22.24,83.68,1.88,
15,54,AOB,STD4,-1,19.05,83.65,1.88,
15,66,AOB,STD4,-1,18.94,83.81,1.88,
17,54,AOB,STD4,-1,19.17,83.64,1.9,
17,66,AOB,STD4,-1,19.43,83.79,1.88,
6,54,AOB,STD5,-1,15.83,83.72,1.91,
6,66,AOB,STD5,-1,15.77,83.88,1.89,
8,54,AOB,STD5,-1,15.78,83.71,1.91,
8,66,AOB,STD5,-1,15.86,83.85,1.89,
43,53,bpp,STD1,-1,45,,,NoAmplification
43,65,bpp,STD1,-1,45,,,NoAmplification
69,53,bpp,STD2,-1,31.63,79.4,1.82,CtIsLarge
69,65,bpp,STD2,-1,34.55,79.77,1.69,"LowEfficiency, CtIsLarge"
71,53,bpp,STD2,-1,45,,,NoAmplification
71,65,bpp,STD2,-1,45,,,"LowEfficiency, CtIsLarge, CurveFitFailed"
60,53,bpp,STD3,-1,31.84,79.36,1.72,CtIsLarge
60,65,bpp,STD3,-1,31.44,79.44,1.76,CtIsLarge
62,53,bpp,STD3,-1,31.14,79.37,1.72,CtIsLarge
62,65,bpp,STD3,-1,30.16,79.35,1.75,
51,53,bpp,STD4,-1,28.14,78.99,1.7,LowEfficiency
51,65,bpp,STD4,-1,28.28,79.04,1.69,LowEfficiency
53,53,bpp,STD4,-1,28.14,79.01,1.71,
53,65,bpp,STD4,-1,28.64,79.09,1.67,LowEfficiency
42,53,bpp,STD5,-1,24.26,78.82,1.71,
42,65,bpp,STD5,-1,24.39,78.86,1.73,
44,53,bpp,STD5,-1,24.05,78.82,1.74,
44,65,bpp,STD5,-1,24.5,78.93,1.75,
7,55,comaA,STD1,-1,,,,NoAmplification
7,67,comaA,STD1,-1,,,,NoAmplification
33,55,comaA,STD2,-1,30.9,83.65,1.7,LowEfficiency
33,67,comaA,STD2,-1,28.75,83.63,1.73,
35,55,comaA,STD2,-1,29.48,83.56,1.7,LowEfficiency
35,67,comaA,STD2,-1,,,,NoAmplification
24,55,comaA,STD3,-1,25.48,83.57,1.71,
24,67,comaA,STD3,-1,25.75,83.65,1.69,LowEfficiency
26,55,comaA,STD3,-1,25.47,83.55,1.72,
26,67,comaA,STD3,-1,25.69,83.64,1.7,
15,55,comaA,STD4,-1,21.59,83.57,1.72,
15,67,comaA,STD4,-1,21.73,83.67,1.71,
17,55,comaA,STD4,-1,22.12,83.55,1.71,
17,67,comaA,STD4,-1,22.14,83.66,1.71,
6,55,comaA,STD5,-1,18.22,83.63,1.72,
6,67,comaA,STD5,-1,18.3,83.73,1.72,
8,55,comaA,STD5,-1,18.08,83.61,1.74,
8,67,comaA,STD5,-1,18.5,83.73,1.71,
43,55,comaB,STD1,-1,,,,NoAmplification
43,67,comaB,STD1,-1,,,,NoAmplification
69,55,comaB,STD2,-1,,,,NoAmplification
69,67,comaB,STD2,-1,30.25,85.08,1.74,
71,55,comaB,STD2,-1,29.72,84.89,1.72,
71,67,comaB,STD2,-1,28,85.17,1.61,LowEfficiency
60,55,comaB,STD3,-1,26.38,84.7,1.71,
60,67,comaB,STD3,-1,26.57,84.85,1.72,
62,55,comaB,STD3,-1,25.87,84.7,1.72,
62,67,comaB,STD3,-1,26.39,84.84,1.74,
51,55,comaB,STD4,-1,23.17,84.53,1.7,
51,67,comaB,STD4,-1,24,84.71,1.68,LowEfficiency
53,55,comaB,STD4,-1,23.54,84.5,1.69,LowEfficiency
53,67,comaB,STD4,-1,23.39,84.3,1.6,LowEfficiency
42,55,comaB,STD5,-1,20.12,84.48,1.66,LowEfficiency
42,67,comaB,STD5,-1,20.52,84.62,1.63,LowEfficiency
44,55,comaB,STD5,-1,20.01,84.5,1.67,LowEfficiency
44,67,comaB,STD5,-1,20.46,84.64,1.66,LowEfficiency
7,51,gcd,STD1,-1,,,,NoAmplification
7,63,gcd,STD1,-1,,,,NoAmplification
33,51,gcd,STD2,-1,33.45,88.51,1.69,"LowEfficiency, CtIsLarge"
33,63,gcd,STD2,-1,32.79,88.76,1.7,"LowEfficiency, CtIsLarge"
35,51,gcd,STD2,-1,34.02,88.51,1.72,CtIsLarge
35,63,gcd,STD2,-1,34.98,88.72,1.77,CtIsLarge
24,51,gcd,STD3,-1,29.54,88.71,1.7,LowEfficiency
24,63,gcd,STD3,-1,29.3,89.08,1.71,
26,51,gcd,STD3,-1,29.46,88.52,1.69,LowEfficiency
26,63,gcd,STD3,-1,29.95,88.87,1.69,LowEfficiency
15,51,gcd,STD4,-1,25.09,88.46,1.66,LowEfficiency
15,63,gcd,STD4,-1,25.23,88.69,1.68,LowEfficiency
17,51,gcd,STD4,-1,25.42,88.45,1.68,LowEfficiency
17,63,gcd,STD4,-1,25.66,88.64,1.68,LowEfficiency
6,51,gcd,STD5,-1,21.45,88.68,1.68,LowEfficiency
6,63,gcd,STD5,-1,20.96,89.06,1.71,
8,51,gcd,STD5,-1,21.38,88.52,1.68,LowEfficiency
8,63,gcd,STD5,-1,21.44,88.85,1.69,LowEfficiency
7,49,ITS,STD1,-1,30.05,88.7,1.78,
7,61,ITS,STD1,-1,27.31,88.84,1.82,
33,49,ITS,STD2,-1,26.89,88.51,1.65,"LowEfficiency, MultipleMeltPeaks"
33,61,ITS,STD2,-1,26.93,88.65,1.66,"LowEfficiency, MultipleMeltPeaks"
35,49,ITS,STD2,-1,27.02,88.47,1.64,"LowEfficiency, MultipleMeltPeaks"
35,61,ITS,STD2,-1,28.45,88.61,1.61,"LowEfficiency, MultipleMeltPeaks"
24,49,ITS,STD3,-1,22.06,88.7,1.7,
24,61,ITS,STD3,-1,22.68,88.73,1.68,"LowEfficiency, MultipleMeltPeaks"
26,49,ITS,STD3,-1,22.84,88.68,1.67,"LowEfficiency, MultipleMeltPeaks"
26,61,ITS,STD3,-1,23.24,88.74,1.66,"LowEfficiency, MultipleMeltPeaks"
15,49,ITS,STD4,-1,16.87,88.86,1.79,
15,61,ITS,STD4,-1,16.8,88.94,1.79,
17,49,ITS,STD4,-1,16.98,88.91,1.78,
17,61,ITS,STD4,-1,16.86,88.95,1.8,
6,49,ITS,STD5,-1,13.16,89.06,1.8,
6,61,ITS,STD5,-1,13.18,89.17,1.79,
8,49,ITS,STD5,-1,13.19,88.99,1.8,
8,61,ITS,STD5,-1,13.25,89.17,1.8,
43,49,Myco,STD1,-1,,,,NoAmplification
43,61,Myco,STD1,-1,28.02,79.74,1.88,
69,49,Myco,STD2,-1,27.28,79.92,1.85,
69,61,Myco,STD2,-1,,,,NoAmplification
71,49,Myco,STD2,-1,27.57,80.03,1.93,
71,61,Myco,STD2,-1,28.23,80.27,1.88,
60,49,Myco,STD3,-1,24.29,79.86,1.9,
60,61,Myco,STD3,-1,24.81,79.94,1.9,
62,49,Myco,STD3,-1,24.77,79.85,1.91,
62,61,Myco,STD3,-1,24.24,79.95,1.91,
51,49,Myco,STD4,-1,20.48,79.75,1.88,
51,61,Myco,STD4,-1,20.56,79.92,1.9,
53,49,Myco,STD4,-1,20.8,79.83,1.89,
53,61,Myco,STD4,-1,20.8,79.94,1.9,
42,49,Myco,STD5,-1,17.37,79.69,1.91,
42,61,Myco,STD5,-1,17.21,79.85,1.89,
44,49,Myco,STD5,-1,17.38,79.73,1.91,
44,61,Myco,STD5,-1,17.37,79.87,1.92,
7,58,narG,STD1,-1,,,,NoAmplification
7,70,narG,STD1,-1,,,,NoAmplification
33,58,narG,STD2,-1,28.67,87.14,1.75,
33,70,narG,STD2,-1,29.54,87.51,1.75,
35,58,narG,STD2,-1,29.17,87.46,1.72,
35,70,narG,STD2,-1,31.42,87.55,1.71,CtIsLarge
24,58,narG,STD3,-1,25.68,87.45,1.75,
24,70,narG,STD3,-1,25.63,87.55,1.77,
26,58,narG,STD3,-1,26.44,87.45,1.74,
26,70,narG,STD3,-1,25.71,87.4,1.7,
15,58,narG,STD4,-1,22.44,87.49,1.76,
15,70,narG,STD4,-1,22.32,87.59,1.75,
17,58,narG,STD4,-1,22.39,87.48,1.76,
17,70,narG,STD4,-1,22.37,87.58,1.78,
6,58,narG,STD5,-1,18.93,87.56,1.76,
6,70,narG,STD5,-1,18.4,87.81,1.83,
8,58,narG,STD5,-1,18.82,87.54,1.78,
8,70,narG,STD5,-1,18.59,87.79,1.8,
43,58,nifH,STD1,-1,34.27,86.18,1.73,CtIsLarge
43,70,nifH,STD1,-1,,,,NoAmplification
69,58,nifH,STD2,-1,31.19,86.31,1.74,CtIsLarge
69,70,nifH,STD2,-1,29.5,86.5,1.74,
71,58,nifH,STD2,-1,30.34,86.32,1.76,
71,70,nifH,STD2,-1,31.61,86.82,1.83,CtIsLarge
60,58,nifH,STD3,-1,28.88,86.21,1.73,
60,70,nifH,STD3,-1,28.34,86.8,1.8,
62,58,nifH,STD3,-1,28.54,86.26,1.74,
62,70,nifH,STD3,-1,28.97,86.63,1.85,
51,58,nifH,STD4,-1,25.34,86.13,1.72,
51,70,nifH,STD4,-1,24.75,86.36,1.75,
53,58,nifH,STD4,-1,25.25,86.2,1.72,
53,70,nifH,STD4,-1,24.49,86.41,1.72,
42,58,nifH,STD5,-1,21.46,86.08,1.71,
42,70,nifH,STD5,-1,21.33,86.25,1.7,
44,58,nifH,STD5,-1,21.77,86.1,1.71,
44,70,nifH,STD5,-1,21.21,86.28,1.74,
7,59,nirK,STD1,-1,28.18,87.1,1.85,
7,71,nirK,STD1,-1,28.88,87.5,2.01,
33,59,nirK,STD2,-1,25.31,86.92,1.82,
33,71,nirK,STD2,-1,24.84,87.11,2.17,
35,59,nirK,STD2,-1,24.67,86.91,1.87,
35,71,nirK,STD2,-1,25.12,87.06,1.83,
24,59,nirK,STD3,-1,21.65,87,1.83,
24,71,nirK,STD3,-1,21.2,87.15,1.85,
26,59,nirK,STD3,-1,21.91,86.88,1.82,
26,71,nirK,STD3,-1,21.45,87.1,1.79,
15,59,nirK,STD4,-1,18.34,87.03,1.83,
15,71,nirK,STD4,-1,18.01,87.23,1.87,
17,59,nirK,STD4,-1,18.32,87.01,1.84,
17,71,nirK,STD4,-1,18.17,87.25,1.85,
6,59,nirK,STD5,-1,15.13,87.11,1.84,
6,71,nirK,STD5,-1,14.86,87.54,1.97,
8,59,nirK,STD5,-1,15.09,87.09,1.84,
8,71,nirK,STD5,-1,14.7,87.56,1.93,
43,52,nirS,STD1,-1,28.99,88.27,1.71,
43,64,nirS,STD1,-1,28.17,88.37,1.71,
69,52,nirS,STD2,-1,23.08,88.4,1.77,
69,64,nirS,STD2,-1,23.76,88.65,1.78,
71,52,nirS,STD2,-1,23.59,88.51,1.92,
71,64,nirS,STD2,-1,23.16,88.84,1.76,
60,52,nirS,STD3,-1,19.92,88.4,1.75,
60,64,nirS,STD3,-1,20.26,88.54,1.73,
62,52,nirS,STD3,-1,20.23,88.41,1.75,
62,64,nirS,STD3,-1,20.21,88.56,1.72,
51,52,nirS,STD4,-1,16.87,88.38,1.72,
51,64,nirS,STD4,-1,16.89,88.51,1.73,
53,52,nirS,STD4,-1,16.55,88.38,1.75,
53,64,nirS,STD4,-1,16.76,88.52,1.75,
42,52,nirS,STD5,-1,13.2,88.39,1.73,
42,64,nirS,STD5,-1,13.2,88.49,1.73,
44,52,nirS,STD5,-1,13.22,88.39,1.73,
44,64,nirS,STD5,-1,13.3,88.49,1.74,
7,50,nosZI,STD1,-1,25.4,86.5,1.87,
7,62,nosZI,STD1,-1,25.71,86.61,1.9,
33,50,nosZI,STD2,-1,22.56,86.36,1.85,
33,62,nosZI,STD2,-1,22.5,86.43,1.86,
35,50,nosZI,STD2,-1,22.46,86.34,1.85,
35,62,nosZI,STD2,-1,22.46,86.45,1.84,
24,50,nosZI,STD3,-1,19.12,86.44,1.84,
24,62,nosZI,STD3,-1,19.21,86.48,1.85,
26,50,nosZI,STD3,-1,19.23,86.41,1.85,
26,62,nosZI,STD3,-1,19.21,86.48,1.86,
15,50,nosZI,STD4,-1,15.96,86.55,1.9,
15,62,nosZI,STD4,-1,16.05,86.72,1.88,
17,50,nosZI,STD4,-1,15.97,86.54,1.88,
17,62,nosZI,STD4,-1,16.02,86.69,1.89,
6,50,nosZI,STD5,-1,12.84,86.69,1.88,
6,62,nosZI,STD5,-1,12.88,86.83,1.86,
8,50,nosZI,STD5,-1,12.87,86.7,1.88,
8,62,nosZI,STD5,-1,12.8,86.81,1.86,
7,53,nrfA,STD1,-1,34.64,84.81,1.59,"LowEfficiency, CtIsLarge"
7,65,nrfA,STD1,-1,31.82,84.79,1.56,"LowEfficiency, CtIsLarge"
33,53,nrfA,STD2,-1,31,84.51,1.53,LowEfficiency
33,65,nrfA,STD2,-1,31.23,84.67,1.58,"LowEfficiency, CtIsLarge"
